id,offset,startle1,startle2,startle3,duration1,nan
1,25.513,86.086,123.776,150.708,177.641,
2,10.834,86.090,123.780,150.715,177.639,
3,11.652,86.072,123.775,150.698,177.628,
4,18.697,86.106,123.802,150.737,177.666,
5,8.749,86.065,123.765,150.697,177.643,
7,7.528,86.068,123.769,150.698,177.629,
9,6.902,86.064,123.769,150.694,177.620,
11,9.577,86.061,123.771,150.700,177.619,
12,13.387,86.090,123.792,150.725,177.650,
13,9.951,86.094,123.801,150.728,177.655,
15,6.779,86.059,123.759,150.703,177.618,
16,9.775,86.098,123.804,150.734,177.699,
18,9.004,86.084,123.765,150.707,177.641,
19,9.674,86.067,123.791,150.730,177.631,
20,8.401,86.085,123.787,150.733,177.642,
